Type,Psi50,Psimin
Angiosperm,-8,-8.6
Angiosperm,-7.3,-8.28
Angiosperm,-5.2,-7.98
Angiosperm,-7.96,-7.9
Angiosperm,-4.9,-7.33
Angiosperm,-6.6,-7.24
Angiosperm,-2.96,-7
Angiosperm,-6.5,-6.98
Angiosperm,-9.4,-6.9
Angiosperm,-7.46,-6.8
Angiosperm,-2.48,-6.79
Angiosperm,-10.15,-6.7
Angiosperm,-6.55,-6.67
Angiosperm,-7.98,-6.53
Angiosperm,-5.61,-6.51
Angiosperm,-8.08,-6.2
Angiosperm,-5.78,-6.18
Angiosperm,-5.12,-6.07
Angiosperm,-6.2,-5.78
Angiosperm,-5.17,-5.7
Angiosperm,-5.92,-5.7
Angiosperm,-3.75,-5.67
Angiosperm,-4.67,-5.6
Angiosperm,-5.5,-5.58
Angiosperm,-3.31,-5.5
Angiosperm,-4.13,-5.3
Angiosperm,-4.41,-5.2
Angiosperm,-4.68,-5.1
Angiosperm,-6,-5.06
Angiosperm,-4.9,-4.6
Angiosperm,-3.3,-4.6
Angiosperm,-4,-4.56
Angiosperm,-3.41,-4.5
Angiosperm,-5.56,-4.47
Angiosperm,-1.57,-4.47
Angiosperm,-2.6,-4.46
Angiosperm,-3.65,-4.4
Angiosperm,-3.08,-4.35
Angiosperm,-3.18,-4.33
Angiosperm,-6.24,-4.28
Angiosperm,-2.95,-4.2
Angiosperm,-1.83,-4.19
Angiosperm,-3.66,-4.15
Angiosperm,-2.02,-4.07
Angiosperm,-4.89,-4.06
Angiosperm,-3.2,-4
Angiosperm,-1.83,-3.95
Angiosperm,-1.33,-3.84
Angiosperm,-3.19,-3.82
Angiosperm,-2.7,-3.8
Angiosperm,-2.95,-3.8
Angiosperm,-4.5,-3.75
Angiosperm,-0.88,-3.74
Angiosperm,-3.04,-3.68
Angiosperm,-2.49,-3.57
Angiosperm,-0.92,-3.57
Angiosperm,-5.84,-3.5
Angiosperm,-1.24,-3.5
Angiosperm,-2.51,-3.5
Angiosperm,-3.03,-3.47
Angiosperm,-2.6,-3.4
Angiosperm,-6.2,-3.37
Angiosperm,-3.56,-3.3
Angiosperm,-4.35,-3.27
Angiosperm,-3.5,-3.17
Angiosperm,-4.56,-3.13
Angiosperm,-1.97,-3.12
Angiosperm,-3,-3.11
Angiosperm,-3.09,-3.03
Angiosperm,-2.8,-2.96
Angiosperm,-3.81,-2.95
Angiosperm,-2.8,-2.94
Angiosperm,-1.93,-2.91
Angiosperm,-4.39,-2.9
Angiosperm,-2.9,-2.9
Angiosperm,-4.29,-2.89
Angiosperm,-2.2,-2.8
Angiosperm,-3.29,-2.79
Angiosperm,-1.3,-2.7
Angiosperm,-1.25,-2.65
Angiosperm,-2.4,-2.64
Angiosperm,-1.8,-2.6
Angiosperm,-2.7,-2.6
Angiosperm,-1.61,-2.52
Angiosperm,-1.5,-2.5
Angiosperm,-2.8,-2.5
Angiosperm,-2.4,-2.5
Angiosperm,-3.09,-2.48
Angiosperm,-4.47,-2.46
Angiosperm,-1.35,-2.4
Angiosperm,-3.2,-2.37
Angiosperm,-0.99,-2.32
Angiosperm,-4.12,-2.31
Angiosperm,-2.8,-2.31
Angiosperm,-1.01,-2.31
Angiosperm,-1.76,-2.26
Angiosperm,-2.98,-2.2
Angiosperm,-0.85,-2.19
Angiosperm,-3.17,-2.13
Angiosperm,-3.6,-2.12
Angiosperm,-2.5,-2.08
Angiosperm,-2.74,-2.01
Angiosperm,-2,-2.01
Angiosperm,-3.7,-2
Angiosperm,-1.64,-2
Angiosperm,-1.07,-2
