Species,LWP,g1new,Source,PFT
Broussonetia papyrifera (Linnaeus) L_He ritier ex Ventenat,-0.764,3.904449833,-,angiosperm malacophyll
Broussonetia papyrifera (Linnaeus) L_He ritier ex Ventenat,-1.248,1.427647375,-,angiosperm malacophyll
Broussonetia papyrifera (Linnaeus) L_He ritier ex Ventenat,-1.266,1.308720646,-,angiosperm malacophyll
Broussonetia papyrifera (Linnaeus) L_He ritier ex Ventenat,-1.494,0.505047776,-,angiosperm malacophyll
Broussonetia papyrifera (Linnaeus) L_He ritier ex Ventenat,-1.384,6.064037947,-,angiosperm malacophyll
Broussonetia papyrifera (Linnaeus) L_He ritier ex Ventenat,-1.379251456,2.411805808,-,angiosperm malacophyll
Broussonetia papyrifera (Linnaeus) L_He ritier ex Ventenat,-1.380551112,1.351977581,-,angiosperm malacophyll
Broussonetia papyrifera (Linnaeus) L_He ritier ex Ventenat,-1.380675644,1.209281594,-,angiosperm malacophyll
Broussonetia papyrifera (Linnaeus) L_He ritier ex Ventenat,-1.102,5.030516048,-,angiosperm malacophyll
Broussonetia papyrifera (Linnaeus) L_He ritier ex Ventenat,-1.264,2.314925644,-,angiosperm malacophyll
Broussonetia papyrifera (Linnaeus) L_He ritier ex Ventenat,-1.568,1.300061012,-,angiosperm malacophyll
Broussonetia papyrifera (Linnaeus) L_He ritier ex Ventenat,-2.494,0.858137382,-,angiosperm malacophyll
Platycarya longipes Wu,-1.114,3.13936834,-,angiosperm malacophyll
Platycarya longipes Wu,-1.618,2.290675226,-,angiosperm malacophyll
Platycarya longipes Wu,-2.244,1.357512475,-,angiosperm malacophyll
Platycarya longipes Wu,-2.982,0.167796089,-,angiosperm malacophyll
Platycarya longipes Wu,-1.622,3.275161016,-,angiosperm malacophyll
Platycarya longipes Wu,-1.996,3.029458039,-,angiosperm malacophyll
Platycarya longipes Wu,-2.638,1.546131094,-,angiosperm malacophyll
Platycarya longipes Wu,-3.208,1.586509739,-,angiosperm malacophyll
Platycarya longipes Wu,-1.498,3.468834326,-,angiosperm malacophyll
Platycarya longipes Wu,-1.756,3.376653404,-,angiosperm malacophyll
Platycarya longipes Wu,-2.418,1.729439628,-,angiosperm malacophyll
Platycarya longipes Wu,-2.748,0.291677498,-,angiosperm malacophyll
Pteroceltis tatarinowii Maximowicz,-1.218,4.914976909,-,angiosperm malacophyll
Pteroceltis tatarinowii Maximowicz,-1.646,0.87077849,-,angiosperm malacophyll
Pteroceltis tatarinowii Maximowicz,-2.232,1.281797796,-,angiosperm malacophyll
Pteroceltis tatarinowii Maximowicz,-3.368,0.6677329,-,angiosperm malacophyll
Pteroceltis tatarinowii Maximowicz,-1.082,4.614932183,-,angiosperm malacophyll
Pteroceltis tatarinowii Maximowicz,-2.048,6.85989426,-,angiosperm malacophyll
Pteroceltis tatarinowii Maximowicz,-2.854,7.894672693,-,angiosperm malacophyll
