"h3","ca","k","MAP","wL","fwL","averA","averm","averB"
1,400,0.05,1500,0.158186002832944,0.0392870207914556,10.5629885810729,0.440969415124051,10.1220191659489
2,400,0.05,1500,0.161667587381659,0.0858765303872674,10.6545881277038,0.692457079701268,9.96213104800252
3,400,0.05,1500,0.164208768333359,0.112269917612518,10.7520174023106,0.841972009937177,9.91004539237339
4,400,0.05,1500,0.166347563553428,0.126469797629943,10.8456747213441,0.935205691873023,9.91046902947104
5,400,0.05,1500,0.168266694549542,0.133501464897806,10.9330266144232,0.994800094835956,9.93822651958726
6,400,0.05,1500,0.170050223804462,0.136161899982648,11.0138304904214,1.03333780290773,9.98049268751366
7,400,0.05,1500,0.171741776120772,0.136080195495819,11.0885036974523,1.05839137510251,10.0301123223498
8,400,0.05,1500,0.173364333394686,0.134255142855309,11.1576091010752,1.07475280527752,10.0828562957977
9,400,0.05,1500,0.174928946909544,0.131326339327628,11.2216678391801,1.08554315250503,10.136124686675
10,400,0.05,1500,0.176439613954222,0.12771662693781,11.281124749181,1.09281483066396,10.1883099185171
11,400,0.05,1500,0.177896583850698,0.123711653338766,11.3363340587028,1.097909536042,10.2384245226608
12,400,0.05,1500,0.179298716909245,0.11950611707241,11.3875817431635,1.10168813054515,10.2858936126183
13,400,0.05,1500,0.180644995382042,0.115232653526245,11.4351090767419,1.10469043243019,10.3304186443117
14,400,0.05,1500,0.181935267481079,0.110980384348556,11.4791308171725,1.10724484332208,10.3718859738504
15,400,0.05,1500,0.183170419762508,0.106807947957123,11.5198487438477,1.10954676782066,10.4103019760271
16,400,0.05,1500,0.184352231517116,0.102752654961414,11.5574588180493,1.11170931496767,10.4457495030816
17,400,0.05,1500,0.185483107603298,0.098837018472724,11.5921520505601,1.11379664457093,10.4783554059891
18,400,0.05,1500,0.18656582004377,0.0950731760182984,11.6241180621863,1.1158442371184,10.5082738250679
19,400,0.05,1500,0.187603294004891,0.0914666083670644,11.653535507463,1.11787069522886,10.5356648122342
20,400,0.05,1500,0.188598461131513,0.088018099810561,11.6805775574773,1.11988603315301,10.5606915243243
