"VPD","ca","k","MAP","wL","fwL","averA","E/MAP","averm","averB","averw","averci/ca"
0.016,400,0.025,100,0.174506849093853,0.807368953315413,1.94373174211054,0.99999991475901,1.00590855621294,0.937823185897601,0.177671432495735,0.115860475086595
0.02,400,0.025,100,0.176439613954222,0.824090573943189,1.69363531604806,0.999999910132009,0.877101456881354,0.816533859166706,0.179363164519818,0.100893959067781
0.024,400,0.025,100,0.178121027150536,0.836143891789674,1.51088049579148,1.00000018563154,0.784095579082944,0.726784916708534,0.180872293252432,0.0900399739235401
0.016,400,0.1,100,0.174506849093853,0.716089979322803,2.5137281270182,1.00000520261722,1.85475100964441,0.65897711737379,0.176055193383013,0.149438490438024
0.02,400,0.1,100,0.176439613954222,0.74510225550016,2.13817545455827,1.00000336620578,1.58718282186964,0.550992632688627,0.177821097013475,0.127442879463755
0.024,400,0.1,100,0.178121027150536,0.765914920258795,1.86999051022744,1.00000153067751,1.39540010581647,0.474590404410969,0.179385335005413,0.111848209692335
0.016,400,0.025,400,0.174506849093853,0.579684540942945,5.0062419730285,0.999328938517252,1.24686740501035,3.75937456801814,0.209504423762383,0.302107660562796
0.02,400,0.025,400,0.176439613954222,0.604619647172544,4.5396089464536,0.999373535588909,1.14420691448105,3.39540203197255,0.209321904587736,0.273001854644591
0.024,400,0.025,400,0.178121027150536,0.622990888187504,4.18234842367332,0.999402847644813,1.06692618461192,3.1154222390614,0.209500272266342,0.250850980439114
0.016,400,0.1,400,0.174506849093853,0.370731847230097,6.77602813883288,0.999999667374304,2.7873458776529,3.98868226117997,0.190715076254054,0.405105889302515
0.02,400,0.1,400,0.176439613954222,0.410536925973437,6.04083125299427,0.999999667868791,2.54366645489301,3.49716479810125,0.191262482902603,0.360408929863016
0.024,400,0.1,400,0.178121027150536,0.440942400478374,5.47693661417292,1.0000009372694,2.34872627637804,3.12821033779488,0.191967599716099,0.326479933036949
0.016,400,0.025,700,0.174506849093853,0.430380670255152,7.208981523933,0.971823702511897,1.15540602997826,6.05357549395474,0.278952688347594,0.437663062360711
0.02,400,0.025,700,0.176439613954222,0.457017119387875,6.64866829904753,0.973472116908904,1.10083485631568,5.54783344273185,0.274673294495612,0.401916944630132
0.024,400,0.025,700,0.178121027150536,0.476938602269503,6.20786479509078,0.974588006235346,1.05798312717641,5.14988166791437,0.27193377719368,0.373942236355504
0.016,400,0.1,700,0.174506849093853,0.21848601121127,9.24348051847726,0.999995519013484,2.41322599670936,6.8302545217679,0.221514224879625,0.55681378560003
0.02,400,0.1,700,0.176439613954222,0.252815965247766,8.45248491235141,0.999996723411117,2.31342426272487,6.13906064962653,0.219534887935513,0.507220268909102
0.024,400,0.1,700,0.178121027150536,0.280041545968867,7.81854823752907,0.999998769658474,2.21726711344268,5.60128112408639,0.218494036936739,0.467924330560218
0.016,400,0.025,1000,0.174506849093853,0.327676221346481,8.75928334253934,0.892233746780291,1.0504563001546,7.70882704238473,0.356653578387665,0.533383505437295
0.02,400,0.025,1000,0.176439613954222,0.353439358113722,8.16473591445902,0.897328026325814,1.03161115268403,7.13312476177498,0.348623376034567,0.494871108598528
0.024,400,0.025,1000,0.178121027150536,0.372997542846727,7.68617584951417,0.90086540310893,1.01547805760169,6.67069779191248,0.343121808667262,0.464034186483132
0.016,400,0.1,1000,0.174506849093853,0.124694909810081,11.0247572099425,0.998540822346565,1.84491835486859,9.17983885507387,0.286856681451237,0.668354132426076
0.02,400,0.1,1000,0.176439613954222,0.151629835511218,10.2608668569276,0.998919969570115,1.86420592780245,8.3966609291251,0.278092272539183,0.619057921424349
0.024,400,0.1,1000,0.178121027150536,0.173772786275792,9.62511540515868,0.999133855782764,1.8574146463169,7.76770075884178,0.272538326799524,0.57854129360301
0.016,400,0.025,1300,0.174506849093853,0.26207491932332,9.75841600673408,0.794444273488869,0.973066873761204,8.78534913297287,0.419187465906335,0.595155366664908
0.02,400,0.025,1300,0.176439613954222,0.285987410558474,9.16136329304024,0.802272706911008,0.976753532589782,8.18460976045045,0.409047731636849,0.556053359612342
0.024,400,0.025,1300,0.178121027150536,0.304370814406834,8.67189526349106,0.807807372280061,0.978144158834531,7.69375110465653,0.401912069165618,0.524175999212788
0.016,400,0.1,1300,0.174506849093853,0.0624319079208515,12.3426108009441,0.976371890037536,1.30378160179888,11.0388291991452,0.410645481242136,0.751954274140525
0.02,400,0.1,1300,0.176439613954222,0.081351353201052,11.6572613683238,0.981411576841304,1.39918490413006,10.2580764641938,0.388896497618672,0.706414493260582
0.024,400,0.1,1300,0.178121027150536,0.0976947978414631,11.0618162181519,0.984469335623444,1.45686680946431,9.6049494086876,0.374375802753105,0.667411383950453
0.016,400,0.025,1600,0.174506849093853,0.219801180683741,10.4052441833814,0.703209112381916,0.919779388286844,9.48546479509456,0.465224169077334,0.635173854301198
0.02,400,0.025,1600,0.176439613954222,0.241853781646181,9.8166252620561,0.712500668899545,0.937584423401559,8.87904083865454,0.45408940850265,0.596305843794846
0.024,400,0.025,1600,0.178121027150536,0.258971767552593,9.32730253626551,0.719152842968977,0.95030530707996,8.37699722918555,0.446130354884796,0.564188842737224
0.016,400,0.1,1600,0.174506849093853,0.028013886693266,13.1243180415226,0.906876944618743,0.943504160592513,12.1808138809301,0.554393911071349,0.801964028928656
0.02,400,0.1,1600,0.176439613954222,0.0393046033774412,12.5525338976762,0.921516498879019,1.05863533968219,11.493898557994,0.525194994278577,0.762850296782177
0.024,400,0.1,1600,0.178121027150536,0.0497199710102011,12.0323805848751,0.931229883333654,1.14244489993131,10.8899356849438,0.504290062624712,0.727862615172732
0.016,400,0.025,1900,0.174506849093853,0.191383758007471,10.8412901976392,0.625249400863469,0.882560447970566,9.95872974966864,0.498996682419527,0.662163190996139
0.02,400,0.025,1900,0.176439613954222,0.211850034508155,10.263419549139,0.635119035634763,0.909602379744582,9.35381716939444,0.487437909029731,0.623763376165442
0.024,400,0.025,1900,0.178121027150536,0.227852546396657,9.77795036546029,0.642248473681401,0.929915297117661,8.84803506834263,0.479090556209366,0.591711427364122
0.016,400,0.1,1900,0.174506849093853,0.012810499199864,13.4864375438238,0.811671753362522,0.765778083892144,12.7206594599317,0.66216432148528,0.825262616111721
0.02,400,0.1,1900,0.176439613954222,0.0189963078372572,13.0053719975081,0.832829736690415,0.873568212083201,12.1318037854249,0.634873627389456,0.791542630577221
0.024,400,0.1,1900,0.178121027150536,0.0250411610157935,12.5549976183219,0.847817443446939,0.958996550686984,11.5960010676349,0.614220763588774,0.760565093692887
0.016,400,0.025,2200,0.174506849093853,0.171382191210791,11.1487912362496,0.56025910937517,0.855698853178008,10.2930923830716,0.524293377866478,0.681201796241858
0.02,400,0.025,2200,0.176439613954222,0.19055485109262,10.5811694721843,0.570204617715796,0.889093592594851,9.69207587958949,0.51258646922031,0.643295959140364
