Vcmax,ca,k,MAP,wL,fwL,averA,E/MAP,averm,averB,averw,averci/ca
10,400,0.025,100,0.201696184,0.666991296,0.651058311,0.999999995,0.318365916,0.332692395,0.209398152,0.281062873
15,400,0.025,100,0.192943475,0.739871961,0.843194051,0.999999829,0.428147675,0.415046377,0.198485786,0.207585954
20,400,0.025,100,0.18766347,0.77634057,0.993943913,1.000000022,0.515614934,0.47832898,0.192200071,0.170246521
25,400,0.025,100,0.184050792,0.797102884,1.127442369,1.000000001,0.592592635,0.534849734,0.188008221,0.147631559
30,400,0.025,100,0.181466556,0.809388127,1.252437914,0.999999896,0.662669775,0.589768139,0.185053016,0.132495318
35,400,0.025,100,0.179592371,0.816614041,1.371697273,1.000000014,0.726369312,0.645327961,0.182925698,0.121594829
40,400,0.025,100,0.178222245,0.820741282,1.485339082,0.999999775,0.783329045,0.702010037,0.181375585,0.113246245
45,400,0.025,100,0.177206948,0.822983926,1.592775026,1.000000045,0.833440923,0.759334103,0.180228674,0.106521004
50,400,0.025,100,0.176439614,0.824090574,1.693635355,0.99999991,0.877101475,0.81653388,0.179363165,0.100893959
55,400,0.025,100,0.175846564,0.824514329,1.787922432,0.999999845,0.915011659,0.872910773,0.178695785,0.096057026
60,400,0.025,100,0.175377988,0.824528303,1.875912107,1.000000084,0.947959663,0.927952444,0.178170269,0.091819162
65,400,0.025,100,0.175000175,0.824296937,1.9580098,0.999999999,0.976689261,0.981320538,0.177748428,0.088054573
70,400,0.025,100,0.174689999,0.823921846,2.034663597,0.999999896,1.001853343,1.032810254,0.177403904,0.084675155
75,400,0.025,100,0.174431294,0.823466283,2.106324695,1.000000124,1.024005135,1.08231956,0.177118358,0.081616655
10,400,0.1,100,0.201696184,0.584812835,0.784551577,1,0.571066135,0.213485442,0.204907489,0.340379698
15,400,0.1,100,0.192943475,0.673432938,1.015694775,1.000000355,0.761382542,0.254312232,0.195180867,0.25041592
20,400,0.1,100,0.18766347,0.715625419,1.202197005,1.00000004,0.913525666,0.288671339,0.189492284,0.205801558
25,400,0.1,100,0.184050792,0.737325168,1.373810662,0.999999816,1.050397585,0.323413077,0.185668261,0.179561738
