d,ca,k,MAP,wL,fwL,averA,E/MAP,averm,averB,averw,averci/ca
5.31,400,0.025,100,0.157723103,0.862726435,1.43610701,0.999999995,0.737737992,0.698369018,0.15982217,0.085714882
4.956,400,0.025,100,0.160739207,0.856904384,1.477998883,0.999999954,0.76007653,0.717922353,0.162957183,0.088170222
4.602,400,0.025,100,0.164053252,0.850330963,1.523913115,0.999999974,0.7847048,0.739208314,0.166407748,0.090865977
4.248,400,0.025,100,0.167721793,0.842836351,1.574540904,0.999999938,0.812039289,0.762501615,0.170234885,0.093845641
3.894,400,0.025,100,0.171818166,0.834193552,1.630745561,0.999999905,0.842609997,0.788135563,0.174518047,0.097164095
3.54,400,0.025,100,0.176439614,0.824090574,1.693635355,0.99999991,0.877101475,0.81653388,0.179363165,0.100893959
3.186,400,0.025,100,0.181718539,0.812086305,1.764649226,1.000000251,0.916415498,0.848233729,0.184915383,0.105131766
2.832,400,0.025,100,0.187841081,0.797532193,1.845700029,0.999999667,0.961763794,0.883936235,0.191380376,0.11001122
2.478,400,0.025,100,0.195079461,0.779435649,1.939400386,0.9999999,1.014815665,0.92458472,0.199061914,0.115723368
2.124,400,0.025,100,0.203852183,0.756181497,2.049419294,0.999999803,1.07792453,0.971494764,0.208433206,0.122556688
1.77,400,0.025,100,0.214846077,0.724946595,2.181106444,0.999999859,1.15447573,1.026630715,0.220285109,0.130975296
1.416,400,0.025,100,0.229293694,0.680266326,2.342628037,0.999999858,1.249330362,1.093297675,0.236076755,0.141801054
1.062,400,0.025,100,0.249714876,0.609900204,2.547137804,1.000000167,1.368626139,1.178511665,0.258933662,0.156710087
0.708,400,0.025,100,0.282470866,0.47957382,2.816818009,0.999999739,1.510887133,1.305930877,0.297578276,0.179980984
0.354,400,0.025,100,0.351973956,0.16243161,3.177674001,0.999998957,1.502528655,1.675145346,0.401691944,0.226070331
5.31,400,0.1,100,0.157723103,0.791893873,1.913494195,1.000003237,1.411099868,0.502394327,0.158751313,0.113644456
4.956,400,0.1,100,0.160739207,0.784763281,1.950952023,1.000003619,1.440246878,0.510705146,0.161818805,0.115902944
4.602,400,0.1,100,0.164053252,0.776750271,1.991573299,1.000003605,1.471955161,0.519618138,0.165191634,0.118368662
4.248,400,0.1,100,0.167721793,0.767658997,2.035867538,1.000003117,1.506645727,0.529221811,0.168928077,0.121079018
3.894,400,0.1,100,0.171818166,0.757229801,2.084469911,1.000004249,1.54483838,0.53963153,0.173104464,0.124082633
3.54,400,0.1,100,0.176439614,0.745102256,2.138175605,1.000003366,1.587182822,0.550992783,0.177821097,0.127442888
3.186,400,0.1,100,0.181718539,0.730771996,2.198025631,1.000002208,1.634520282,0.563505348,0.183216017,0.131246572
2.832,400,0.1,100,0.187841081,0.7134992,2.26539948,1.000001662,1.687941803,0.577457677,0.189483954,0.135615633
2.478,400,0.1,100,0.195079461,0.692148932,2.342164448,1.000001808,1.748881126,0.593283321,0.196910498,0.140728081
2.124,400,0.1,100,0.203852183,0.664877678,2.430960957,1.000001227,1.819231873,0.611729084,0.205938121,0.146860221
1.77,400,0.1,100,0.214846077,0.628467148,2.535656174,1.000000595,1.901453802,0.634202372,0.217300598,0.154470967
1.416,400,0.1,100,0.229293694,0.576690276,2.662210873,1.000013108,1.998305273,0.6639056,0.232336,0.164402122
1.062,400,0.1,100,0.249714876,0.495644452,2.820401929,0.999999898,2.110223048,0.710178881,0.253866114,0.178433198
0.708,400,0.1,100,0.282470866,0.347380093,3.026185332,0.999999597,2.212429196,0.813756137,0.28957578,0.201139154
0.354,400,0.1,100,0.351973956,0.042309797,3.272129917,1.000006582,1.869554675,1.402575242,0.383595846,0.242121863
5.31,400,0.025,400,0.157723103,0.69675229,3.678800387,0.999699946,0.954711779,2.724088608,0.179608071,0.222490969
4.956,400,0.025,400,0.160739207,0.682792893,3.815572638,0.999664219,0.985661379,2.829911259,0.184127007,0.230539459
4.602,400,0.025,400,0.164053252,0.667054929,3.966955472,0.999619186,1.019593911,2.947361561,0.189200323,0.239436447
4.248,400,0.025,400,0.167721793,0.649150725,4.135644154,0.999560465,1.056961908,3.078682245,0.194958574,0.249337553
3.894,400,0.025,400,0.171818166,0.628569015,4.325057225,0.999482121,1.098296306,3.226760919,0.201581054,0.260440775
3.54,400,0.025,400,0.176439614,0.604619649,4.539608927,0.999373528,1.144206946,3.39540198,0.209321904,0.273001853
3.186,400,0.025,400,0.181718539,0.576349295,4.785086212,0.99921625,1.195360557,3.589725655,0.218556282,0.287356992
2.832,400,0.025,400,0.187841081,0.542402179,5.069217289,0.998972781,1.252393799,3.81682349,0.229866523,0.303956955
2.478,400,0.025,400,0.195079461,0.500792607,5.402488269,0.998569165,1.315662809,4.08682546,0.24421706,0.323417171
2.124,400,0.025,400,0.203852183,0.448508573,5.799260914,0.99782246,1.384513865,4.41474705,0.263347567,0.346588709
1.77,400,0.025,400,0.214846077,0.380854509,6.278762976,0.996219704,1.455167875,4.823595101,0.290785619,0.374630258
1.416,400,0.025,400,0.229293694,0.290579588,6.862243587,0.991918816,1.514141952,5.348101635,0.334958012,0.408870193
1.062,400,0.025,400,0.249714876,0.169234546,7.534863716,0.975684639,1.517211468,6.017652248,0.420911578,0.448626685
0.708,400,0.025,400,0.282470866,0.036049619,7.861281265,0.88206835,1.357168087,6.504113178,0.629309655,0.469192776
0.354,400,0.025,400,0.351973956,2.12E-05,5.572565072,0.488449441,1.114837254,4.457727818,0.917080659,0.352343316
5.31,400,0.1,400,0.157723103,0.521808169,5.212849276,0.999999927,2.311347209,2.901502067,0.167595789,0.311894622
4.956,400,0.1,400,0.160739207,0.504340672,5.350248222,0.99999976,2.354864269,2.995383952,0.171282217,0.31992974
