"PLC50","gs50"
-0.435187706271938,-0.436188257108094
-0.870375412543876,-0.871803277947032
-1.30556311881581,-1.30741852520932
-1.74075082508775,-1.74303382483796
-2.17593853135969,-2.17864915722805
-2.61112623763163,-2.61426448043032
-3.04631394390357,-3.04987982215776
-3.4815016501755,-3.48549516352071
-3.91668935644744,-3.92111051028607
-4.35187706271938,-4.35672585876568
-4.78706476899132,-4.79234121275822
-5.22225247526326,-5.22795656129715
-5.65744018153519,-5.66357190601592
-6.09262788780713,-6.09918726178517
-6.52781559407907,-6.53480261118953
-6.96300330035101,-6.97041796099461
-7.39819100662295,-7.40603328630193
-7.83337871289488,-7.84164867917666
-8.26856641916682,-8.27726403210163
-8.70375412543876,-8.71287938609751
